source,target
1,15
1,14
1,16
1,23
2,4
2,0
2,15
3,1
3,17
3,23
3,0
3,2
3,4
4,22
4,1
4,21
4,11
4,20
5,16
5,9
5,22
5,2
5,8
5,14
5,18
5,19
5,0
5,11
5,15
5,21
6,14
6,23
6,8
6,2
6,21
6,1
6,11
6,22
7,9
7,17
7,16
7,22
7,10
7,0
7,3
7,14
8,16
8,23
8,10
9,8
9,16
9,22
9,14
9,20
9,2
9,10
10,0
11,22
11,15
12,6
12,13
12,10
12,0
12,9
12,15
12,11
12,8
13,24
13,4
13,14
13,19
13,11
13,20
13,21
14,11
14,22
16,10
16,0
17,2
17,8
17,0
17,9
17,23
17,11
17,16
17,1
17,14
18,9
18,7
18,16
18,17
18,0
18,6
18,11
18,3
19,9
19,3
19,0
19,22
19,21
19,1
19,14
20,11
20,1
21,10
21,16
21,8
21,23
22,15
23,15
23,11
24,11
24,23
24,1
24,4
24,15
24,22
24,6
24,14
24,10
