,Student_ID,Action_Types,Action_Time,Cur_Proficiency
0,0000,Prior Assessment Test,90,"[1, 0, 1, 0, 1]"
1,0000,AT39,18,"{1: 1, 4: 1}"
2,0000,0,7,
3,0000,AT26,46,"{0: 1, 1: 2, 2: 3}"
4,0000,AT27,6,"{0: 2, 1: 2, 2: 3}"
5,0000,AT27,7,"{0: 4, 1: 2, 2: 4}"
6,0000,AT34,36,"{0: 4, 1: 3, 2: 4}"
7,0000,5,12,
8,0000,19,55,
9,0000,2,35,
10,0000,Final Exam,90,"[4, 3, 4, 1, 3]"
11,0001,Prior Assessment Test,90,"[0, 0, 1, 1, 1]"
12,0001,12,35,
13,0001,3,8,
14,0001,AT27,47,"{0: 1, 1: 0, 2: 4}"
15,0001,3,7,
16,0001,19,13,
17,0001,16,8,
18,0001,13,13,
19,0001,AT39,41,"{1: 1, 4: 3}"
20,0001,AT28,19,"{0: 2, 1: 1, 2: 4, 4: 4}"
21,0001,3,13,
22,0001,AT38,1,"{1: 3, 2: 4, 3: 4}"
23,0001,AT33,32,"{1: 4, 2: 4, 3: 4, 4: 4}"
24,0001,5,16,
25,0001,AT31,40,"{0: 4, 4: 4}"
26,0001,Final Exam,90,"[4, 4, 4, 4, 4]"
27,0002,Prior Assessment Test,90,"[1, 3, 0, 0, 1]"
28,0002,16,14,
29,0002,AT34,2,"{0: 2, 1: 4, 2: 1}"
30,0002,2,53,
31,0002,13,31,
32,0002,AT37,1,"{3: 2, 4: 1}"
33,0002,4,14,
34,0002,AT29,57,"{3: 3, 4: 4}"
35,0002,Final Exam,90,"[3, 4, 1, 3, 4]"
36,0003,Prior Assessment Test,90,"[4, 1, 1, 1, 0]"
37,0003,5,9,
38,0003,22,2,
39,0003,AT32,11,"{0: 4, 1: 2}"
40,0003,AT29,8,"{3: 2, 4: 1}"
41,0003,11,15,
42,0003,8,27,
43,0003,6,50,
44,0003,9,60,
45,0003,5,25,
46,0003,Final Exam,90,"[4, 3, 4, 3, 3]"
47,0004,Prior Assessment Test,90,"[1, 3, 0, 0, 0]"
48,0004,2,26,
49,0004,AT25,1,"{1: 3, 2: 0, 3: 2}"
50,0004,16,10,
51,0004,7,50,
52,0004,18,15,
53,0004,5,39,
54,0004,5,1,
55,0004,5,1,
56,0004,AT27,3,"{0: 3, 1: 4, 2: 0}"
57,0004,11,27,
58,0004,Final Exam,90,"[3, 4, 1, 4, 3]"
59,0005,Prior Assessment Test,90,"[1, 1, 1, 0, 0]"
60,0005,0,1,
61,0005,8,18,
62,0005,AT25,37,"{1: 1, 2: 3, 3: 1}"
63,0005,23,44,
64,0005,23,59,
65,0005,1,30,
66,0005,AT29,52,"{3: 2, 4: 1}"
67,0005,AT30,1,{3: 3}
68,0005,Final Exam,90,"[1, 2, 4, 3, 1]"
69,0006,Prior Assessment Test,90,"[1, 1, 2, 1, 1]"
70,0006,11,5,
71,0006,AT30,17,{3: 4}
72,0006,AT27,9,"{0: 1, 1: 1, 2: 3}"
73,0006,21,41,
74,0006,AT33,5,"{1: 2, 2: 4, 3: 4, 4: 1}"
75,0006,AT33,32,"{1: 3, 2: 4, 3: 4, 4: 1}"
76,0006,3,14,
77,0006,23,2,
78,0006,Final Exam,90,"[1, 4, 4, 4, 2]"
79,0007,Prior Assessment Test,90,"[1, 1, 0, 1, 1]"
80,0007,11,8,
81,0007,AT30,16,{3: 3}
82,0007,13,16,
83,0007,2,17,
84,0007,AT36,17,"{0: 3, 1: 1, 4: 1}"
