Student_ID,Action_Types,Cur_Proficiency
0,Prior Assessment Test,"[0, 1, 0, 0, 0]"
0,2,{}
0,AT20,"{2: 2, 3: 2}"
0,3,{}
0,AT12,{4: 1}
0,AT18,"{1: 2, 4: 2}"
0,1,{}
0,AT15,{0: 2}
0,Final Exam,"[2, 2, 2, 2, 2]"
1,Prior Assessment Test,"[0, 0, 0, 0, 1]"
1,9,{}
1,AT12,{4: 2}
1,9,{}
1,10,{}
1,AT15,{0: 1}
1,2,{}
1,AT16,{1: 2}
1,AT17,{0: 2}
1,Final Exam,"[2, 2, 2, 0, 2]"
2,Prior Assessment Test,"[0, 0, 1, 0, 0]"
2,AT18,"{1: 0, 4: 1}"
2,5,{}
2,3,{}
2,5,{}
2,1,{}
2,8,{}
2,2,{}
2,AT13,"{1: 2, 3: 2}"
2,Final Exam,"[2, 2, 2, 2, 1]"
3,Prior Assessment Test,"[0, 0, 0, 0, 0]"
3,AT13,"{1: 1, 3: 1}"
3,6,{}
3,3,{}
3,AT20,"{2: 0, 3: 2}"
3,1,{}
3,6,{}
3,AT12,{4: 2}
3,AT20,"{2: 1, 3: 2}"
3,Final Exam,"[2, 2, 1, 2, 2]"
4,Prior Assessment Test,"[0, 0, 0, 0, 0]"
4,8,{}
4,8,{}
4,3,{}
4,AT13,"{1: 2, 3: 2}"
4,3,{}
4,10,{}
4,9,{}
4,1,{}
4,Final Exam,"[2, 2, 2, 2, 2]"
5,Prior Assessment Test,"[0, 1, 1, 0, 0]"
5,9,{}
5,6,{}
5,AT20,"{2: 2, 3: 0}"
5,6,{}
5,5,{}
5,7,{}
5,AT19,{3: 1}
5,AT15,{0: 2}
5,Final Exam,"[2, 2, 2, 1, 1]"
6,Prior Assessment Test,"[0, 0, 1, 0, 0]"
6,AT18,"{1: 1, 4: 0}"
6,8,{}
6,AT20,"{2: 2, 3: 2}"
6,7,{}
6,AT18,"{1: 1, 4: 2}"
6,10,{}
6,AT16,{1: 2}
6,AT15,{0: 1}
6,Final Exam,"[1, 2, 2, 2, 2]"
7,Prior Assessment Test,"[0, 0, 0, 0, 0]"
7,AT17,{0: 0}
7,10,{}
7,8,{}
7,2,{}
7,AT13,"{1: 2, 3: 2}"
7,9,{}
7,2,{}
7,1,{}
7,Final Exam,"[0, 2, 2, 2, 0]"
8,Prior Assessment Test,"[0, 0, 0, 1, 0]"
8,AT19,{3: 2}
8,10,{}
8,AT12,{4: 0}
8,2,{}
8,8,{}
8,2,{}
8,AT12,{4: 0}
8,AT12,{4: 1}
8,Final Exam,"[1, 2, 2, 2, 1]"
9,Prior Assessment Test,"[0, 0, 0, 1, 1]"
9,AT15,{0: 1}
9,8,{}
9,5,{}
9,2,{}
9,2,{}
9,AT20,"{2: 2, 3: 2}"
9,3,{}
9,AT15,{0: 2}
9,Final Exam,"[2, 2, 2, 2, 2]"
10,Prior Assessment Test,"[0, 0, 0, 0, 0]"
10,10,{}
10,AT17,{0: 2}
10,AT20,"{2: 0, 3: 0}"
10,9,{}
10,2,{}
10,7,{}
10,AT13,"{1: 2, 3: 2}"
10,7,{}
10,Final Exam,"[2, 2, 1, 2, 2]"
11,Prior Assessment Test,"[1, 1, 0, 0, 0]"
11,AT18,"{1: 2, 4: 0}"
11,7,{}
11,8,{}
11,AT14,{3: 2}
11,AT17,{0: 1}
11,6,{}
11,AT12,{4: 2}
11,AT15,{0: 2}
11,Final Exam,"[2, 2, 0, 2, 2]"
12,Prior Assessment Test,"[1, 0, 2, 0, 0]"
12,AT15,{0: 2}
12,AT13,"{1: 0, 3: 1}"
12,AT20,"{2: 2, 3: 1}"
12,3,{}
12,3,{}
12,AT13,"{1: 0, 3: 1}"
12,AT13,"{1: 0, 3: 1}"
12,AT18,"{1: 0, 4: 0}"
12,Final Exam,"[2, 0, 2, 1, 0]"
13,Prior Assessment Test,"[0, 0, 0, 1, 0]"
13,1,{}
13,AT20,"{2: 0, 3: 1}"
13,AT18,"{1: 2, 4: 2}"
13,AT17,{0: 2}
13,AT20,"{2: 0, 3: 1}"
13,8,{}
13,AT20,"{2: 2, 3: 2}"
13,Final Exam,"[2, 2, 2, 2, 2]"
14,Prior Assessment Test,"[0, 1, 1, 1, 0]"
14,AT18,"{1: 1, 4: 1}"
14,5,{}
14,AT12,{4: 2}
14,AT13,"{1: 1, 3: 2}"
14,2,{}
14,AT16,{1: 2}
14,AT17,{0: 2}
14,AT20,"{2: 1, 3: 2}"
14,Final Exam,"[2, 2, 1, 2, 2]"
15,Prior Assessment Test,"[0, 0, 1, 0, 2]"
15,AT13,"{1: 0, 3: 0}"
15,8,{}
15,6,{}
15,3,{}
15,AT12,{4: 2}
15,AT15,{0: 2}
15,AT13,"{1: 2, 3: 2}"
15,AT20,"{2: 2, 3: 2}"
15,Final Exam,"[2, 2, 2, 2, 2]"
16,Prior Assessment Test,"[1, 0, 0, 0, 0]"
16,AT18,"{1: 0, 4: 0}"
16,10,{}
16,AT13,"{1: 2, 3: 2}"
16,7,{}
16,AT20,"{2: 1, 3: 2}"
16,7,{}
16,8,{}
16,AT20,"{2: 1, 3: 2}"
16,Final Exam,"[1, 2, 1, 2, 2]"
17,Prior Assessment Test,"[0, 0, 0, 0, 0]"
17,9,{}
17,AT18,"{1: 2, 4: 2}"
17,8,{}
17,8,{}
17,8,{}
17,5,{}
17,8,{}
17,5,{}
17,Final Exam,"[1, 2, 2, 2, 2]"
18,Prior Assessment Test,"[0, 1, 0, 0, 1]"
18,9,{}
18,2,{}
18,6,{}
18,10,{}
18,AT20,"{2: 0, 3: 0}"
18,5,{}
18,AT18,"{1: 2, 4: 2}"
18,AT20,"{2: 0, 3: 2}"
18,Final Exam,"[2, 2, 0, 2, 2]"
19,Prior Assessment Test,"[1, 0, 0, 0, 0]"
19,AT13,"{1: 1, 3: 1}"
19,10,{}
19,5,{}
19,AT18,"{1: 2, 4: 2}"
19,9,{}
19,2,{}
19,AT19,{3: 2}
19,AT20,"{2: 2, 3: 2}"
19,Final Exam,"[2, 2, 2, 2, 2]"
20,Prior Assessment Test,"[1, 1, 0, 0, 0]"
20,AT13,"{1: 2, 3: 1}"
20,7,{}
20,AT12,{4: 2}
20,5,{}
20,5,{}
20,5,{}
20,5,{}
20,AT20,"{2: 2, 3: 2}"
20,Final Exam,"[2, 2, 2, 2, 2]"
21,Prior Assessment Test,"[0, 0, 1, 0, 0]"
21,6,{}
21,2,{}
21,AT12,{4: 0}
21,10,{}
21,AT17,{0: 1}
21,2,{}
21,5,{}
21,AT20,"{2: 2, 3: 1}"
21,Final Exam,"[1, 2, 2, 1, 0]"
22,Prior Assessment Test,"[0, 1, 0, 0, 1]"
22,8,{}
22,2,{}
22,2,{}
22,5,{}
22,8,{}
22,3,{}
22,AT11,{3: 2}
22,AT18,"{1: 2, 4: 2}"
22,Final Exam,"[2, 2, 2, 2, 2]"
23,Prior Assessment Test,"[1, 0, 0, 0, 0]"
23,AT18,"{1: 0, 4: 1}"
23,6,{}
23,AT13,"{1: 2, 3: 0}"
23,8,{}
23,5,{}
23,AT12,{4: 2}
23,1,{}
23,AT20,"{2: 1, 3: 1}"
23,Final Exam,"[2, 2, 1, 1, 2]"
