ID,Trace of Learning,Learning Time
0.0,"[12, 5, 13, 18, 19]","[74, 93, 42, 49, 39]"
1.0,"[12, 13, 5, 24, 18, 19, 7, 3, 17, 9, 6, 2, 4, 21, 20, 1, 8, 14, 16, 23]","[75, 42, 94, 8, 52, 39, 27, 21, 96, 61, 83, 43, 75, 45, 12, 81, 13, 59, 86, 68]"
2.0,"[12, 5, 18, 7, 13, 19, 3]","[77, 92, 51, 23, 41, 36, 19]"
3.0,"[5, 18, 12, 13, 7, 24, 19, 6, 3, 17, 9, 2, 4, 21, 20]","[95, 53, 74, 42, 24, 8, 36, 83, 18, 96, 63, 44, 74, 46, 11]"
4.0,"[5, 18, 7, 12, 13, 24, 19, 6]","[93, 50, 23, 77, 41, 7, 37, 84]"
5.0,"[5, 18, 12, 13, 19]","[94, 49, 75, 44, 39]"
6.0,"[12, 5, 18, 7, 13, 19, 24, 6, 3, 17, 9, 2]","[74, 92, 52, 26, 43, 36, 7, 83, 18, 100, 64, 45]"
7.0,"[5, 12, 13, 24, 18, 6, 19, 7, 3, 17, 9, 2, 4, 21, 20, 8, 1, 16]","[94, 76, 42, 7, 53, 81, 39, 23, 21, 100, 62, 43, 75, 46, 12, 14, 81, 86]"
8.0,"[5, 12, 13, 18, 7, 19, 24, 3, 17, 6]","[92, 75, 45, 53, 26, 39, 8, 20, 99, 84]"
9.0,"[5, 12, 13, 18, 19, 24, 6]","[93, 76, 43, 52, 38, 5, 81]"
10.0,"[12, 13, 5, 24, 19]","[76, 43, 92, 7, 38]"
11.0,"[12, 13, 5, 18, 19, 24, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1, 14, 23, 11]","[75, 42, 96, 51, 40, 7, 84, 25, 18, 100, 62, 44, 74, 45, 16, 10, 79, 57, 65, 34]"
12.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6]","[93, 53, 26, 74, 42, 7, 39, 19, 80]"
13.0,"[5, 18, 12, 7, 13, 19, 24, 6, 3]","[95, 52, 75, 24, 42, 37, 5, 80, 22]"
14.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16, 10]","[74, 45, 93, 37, 8, 49, 81, 26, 19, 98, 64, 44, 75, 44, 16, 12, 79, 67, 85, 24]"
15.0,"[12, 5, 13, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8, 23]","[77, 96, 44, 37, 8, 53, 81, 26, 18, 96, 65, 45, 78, 10, 42, 80, 60, 14, 67]"
16.0,"[5, 18, 7, 12, 13]","[94, 49, 26, 76, 44]"
17.0,"[12, 5, 18, 13, 7, 24, 19, 6]","[77, 95, 51, 41, 27, 6, 37, 84]"
18.0,"[5, 12, 18, 13, 24, 6, 7, 19, 3, 17, 9]","[92, 77, 52, 41, 9, 84, 24, 37, 21, 99, 61]"
19.0,"[5, 18, 7, 12, 13, 24, 19, 6, 3, 17, 9]","[95, 51, 26, 74, 42, 9, 38, 83, 22, 97, 64]"
20.0,"[5, 18, 12, 13, 24, 19, 7, 3, 17, 6, 9, 2]","[94, 53, 76, 43, 5, 38, 27, 18, 100, 84, 65, 45]"
21.0,"[5, 18, 12, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 23]","[93, 50, 77, 25, 44, 8, 36, 81, 21, 99, 61, 46, 76, 13, 79, 58, 44, 16, 69]"
22.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17, 9]","[76, 96, 41, 8, 38, 50, 80, 23, 19, 97, 64]"
23.0,"[12, 13, 24, 5, 18]","[74, 45, 7, 96, 52]"
24.0,"[12, 5, 13, 18, 19, 24, 6, 7, 3]","[78, 93, 44, 49, 36, 9, 82, 27, 21]"
