,Student_ID,Action_Types,Action_Time,Cur_Proficiency
0,000,Prior Assessment Test,90,"[1, 3, 1, 1, 3]"
1,000,43,24,
2,000,31,9,
3,000,1,1,
4,000,49,18,
5,000,Final Exam,90,"[1, 4, 4, 3, 4]"
6,001,Prior Assessment Test,90,"[1, 0, 1, 1, 1]"
7,001,AT53,1,"{0: 1, 1: 1, 4: 1}"
8,001,49,19,
9,001,34,60,
10,001,11,54,
11,001,26,6,
12,001,25,2,
13,001,12,1,
14,001,8,1,
15,001,39,51,
16,001,21,12,
17,001,38,5,
18,001,21,48,
19,001,47,39,
20,001,Final Exam,90,"[4, 4, 4, 4, 4]"
21,002,Prior Assessment Test,90,"[1, 1, 0, 3, 0]"
22,002,4,60,
23,002,11,7,
24,002,31,41,
25,002,AT65,55,"{0: 2, 1: 2, 4: 1}"
26,002,27,1,
27,002,25,10,
28,002,36,2,
29,002,Final Exam,90,"[4, 2, 0, 4, 4]"
30,003,Prior Assessment Test,90,"[1, 1, 0, 3, 4]"
31,003,48,32,
32,003,AT68,1,"{0: 2, 2: 0, 3: 4, 4: 4}"
33,003,AT54,9,"{0: 3, 1: 1, 2: 1, 3: 4}"
34,003,33,44,
35,003,47,1,
36,003,AT65,31,"{0: 4, 1: 2, 4: 4}"
37,003,Final Exam,90,"[4, 2, 2, 4, 4]"
38,004,Prior Assessment Test,90,"[0, 0, 1, 0, 2]"
39,004,AT53,7,"{0: 0, 1: 1, 4: 2}"
40,004,AT52,1,"{1: 1, 2: 2}"
41,004,44,2,
42,004,49,15,
43,004,31,48,
44,004,31,45,
45,004,49,1,
46,004,10,5,
47,004,26,48,
48,004,48,5,
49,004,Final Exam,90,"[2, 4, 4, 0, 4]"
50,005,Prior Assessment Test,90,"[1, 0, 1, 0, 1]"
51,005,43,45,
52,005,26,14,
53,005,48,4,
54,005,35,21,
55,005,26,8,
56,005,39,5,
57,005,8,47,
58,005,49,25,
59,005,AT65,36,"{0: 3, 1: 3, 4: 4}"
60,005,AT62,38,"{0: 3, 2: 4, 3: 4}"
61,005,14,34,
62,005,Final Exam,90,"[3, 4, 4, 4, 4]"
63,006,Prior Assessment Test,90,"[0, 2, 1, 2, 2]"
64,006,40,24,
65,006,10,3,
66,006,31,26,
67,006,44,12,
68,006,Final Exam,90,"[2, 3, 1, 2, 4]"
69,007,Prior Assessment Test,90,"[1, 1, 0, 0, 1]"
70,007,26,5,
71,007,40,52,
72,007,44,39,
73,007,26,1,
74,007,0,59,
75,007,36,13,
76,007,AT65,37,"{0: 4, 1: 3, 4: 4}"
77,007,44,27,
78,007,Final Exam,90,"[4, 4, 1, 0, 4]"
79,008,Prior Assessment Test,90,"[0, 2, 3, 0, 0]"
80,008,44,6,
81,008,AT57,34,"{1: 4, 2: 3}"
82,008,39,24,
83,008,31,56,
84,008,46,53,
85,008,19,2,
86,008,18,60,
87,008,Final Exam,90,"[0, 4, 4, 0, 4]"
88,009,Prior Assessment Test,90,"[1, 0, 1, 1, 0]"
89,009,AT53,56,"{0: 1, 1: 1, 4: 0}"
90,009,39,11,
91,009,15,21,
92,009,AT59,1,"{0: 1, 4: 1}"
93,009,38,6,
94,009,AT57,36,"{1: 2, 2: 4}"
95,009,AT65,1,"{0: 2, 1: 4, 4: 1}"
96,009,47,35,
97,009,Final Exam,90,"[3, 4, 4, 1, 1]"
98,010,Prior Assessment Test,90,"[1, 2, 0, 1, 0]"
99,010,AT64,14,"{0: 1, 1: 3, 3: 1}"
100,010,AT65,1,"{0: 4, 1: 3, 4: 0}"
101,010,AT64,24,"{0: 4, 1: 4, 3: 1}"
102,010,39,55,
103,010,34,5,
104,010,47,44,
105,010,Final Exam,90,"[4, 4, 2, 2, 0]"
106,011,Prior Assessment Test,90,"[1, 1, 1, 1, 0]"
107,011,AT62,26,"{0: 1, 2: 2, 3: 1}"
108,011,44,15,
109,011,44,58,
110,011,AT59,6,"{0: 1, 4: 1}"
111,011,40,2,
112,011,26,5,
113,011,27,18,
114,011,25,15,
115,011,49,27,
116,011,45,46,
117,011,Final Exam,90,"[2, 4, 4, 1, 4]"
118,012,Prior Assessment Test,90,"[1, 0, 1, 1, 0]"
119,012,1,9,
120,012,45,23,
121,012,45,27,
122,012,AT51,30,"{2: 4, 3: 2}"
123,012,39,58,
124,012,49,58,
125,012,6,21,
126,012,19,29,
127,012,AT57,22,"{1: 3, 2: 4}"
128,012,AT63,37,"{0: 1, 3: 4, 4: 3}"
129,012,49,4,
130,012,Final Exam,90,"[1, 4, 4, 4, 3]"
131,013,Prior Assessment Test,90,"[2, 0, 0, 2, 0]"
132,013,31,27,
133,013,AT53,8,"{0: 2, 1: 1, 4: 1}"
134,013,6,45,
135,013,41,13,
136,013,43,34,
137,013,20,42,
138,013,40,26,
139,013,0,7,
140,013,34,15,
141,013,12,33,
142,013,Final Exam,90,"[4, 1, 3, 4, 3]"
143,014,Prior Assessment Test,90,"[1, 0, 0, 1, 0]"
144,014,34,10,
145,014,44,53,
146,014,12,3,
147,014,12,27,
148,014,44,4,
149,014,AT69,5,"{3: 3, 4: 3}"
150,014,AT69,45,"{3: 4, 4: 3}"
151,014,AT64,59,"{0: 1, 1: 4, 3: 4}"
152,014,48,14,
153,014,Final Exam,90,"[1, 4, 0, 4, 4]"
154,015,Prior Assessment Test,90,"[1, 1, 1, 0, 0]"
155,015,31,27,
156,015,46,32,
157,015,10,1,
158,015,39,10,
159,015,45,6,
160,015,AT65,33,"{0: 1, 1: 2, 4: 2}"
161,015,15,47,
162,015,49,27,
163,015,26,26,
164,015,AT55,50,"{2: 4, 4: 4}"
165,015,Final Exam,90,"[1, 4, 4, 0, 4]"
166,016,Prior Assessment Test,90,"[1, 1, 0, 0, 0]"
167,016,22,1,
168,016,40,15,
169,016,5,2,
170,016,48,48,
171,016,31,6,
172,016,AT53,2,"{0: 4, 1: 2, 4: 4}"
173,016,AT60,1,"{0: 4, 1: 3, 2: 0}"
174,016,AT53,3,"{0: 4, 1: 4, 4: 4}"
175,016,39,12,
176,016,Final Exam,90,"[4, 4, 3, 0, 4]"
177,017,Prior Assessment Test,90,"[4, 0, 0, 0, 0]"
178,017,AT59,23,"{0: 4, 4: 1}"
179,017,AT53,40,"{0: 4, 1: 1, 4: 1}"
180,017,AT52,19,"{1: 2, 2: 0}"
181,017,AT60,9,"{0: 4, 1: 3, 2: 0}"
182,017,41,22,
183,017,23,5,
184,017,39,20,
185,017,25,9,
186,017,32,10,
187,017,49,2,
188,017,Final Exam,90,"[4, 4, 4, 0, 4]"
189,018,Prior Assessment Test,90,"[0, 0, 2, 0, 1]"
190,018,14,19,
191,018,40,1,
192,018,31,10,
193,018,9,12,
194,018,26,60,
195,018,38,33,
196,018,41,43,
197,018,18,47,
198,018,44,10,
199,018,49,15,
200,018,10,14,
201,018,Final Exam,90,"[4, 4, 4, 0, 4]"
202,019,Prior Assessment Test,90,"[0, 0, 1, 1, 1]"
203,019,44,4,
204,019,47,8,
205,019,41,1,
206,019,9,19,
207,019,AT57,4,"{1: 2, 2: 4}"
208,019,19,13,
209,019,24,20,
210,019,21,8,
211,019,Final Exam,90,"[3, 2, 4, 2, 4]"
212,020,Prior Assessment Test,90,"[2, 0, 1, 0, 2]"
213,020,31,3,
214,020,43,4,
215,020,10,54,
216,020,47,2,
217,020,39,1,
218,020,39,22,
219,020,AT65,2,"{0: 2, 1: 2, 4: 4}"
220,020,32,41,
221,020,49,45,
222,020,36,49,
223,020,5,27,
224,020,Final Exam,90,"[4, 4, 4, 1, 4]"
225,021,Prior Assessment Test,90,"[3, 1, 0, 3, 1]"
226,021,17,39,
227,021,30,30,
228,021,46,36,
229,021,AT69,7,"{3: 3, 4: 4}"
230,021,30,3,
231,021,Final Exam,90,"[4, 3, 0, 4, 4]"
232,022,Prior Assessment Test,90,"[0, 1, 0, 0, 0]"
233,022,31,34,
