Student_ID,Action_Types,Cur_Proficiency
0,Prior Assessment Test,"[0, 1, 0, 0, 0]"
0,6,{}
0,5,{}
0,AT18,"{1: 2, 2: 2, 3: 2}"
0,3,{}
0,1,{}
0,1,{}
0,AT19,"{0: 2, 1: 2}"
0,AT14,{4: 2}
0,Final Exam,"[2, 2, 2, 2, 2]"
1,Prior Assessment Test,"[0, 0, 0, 0, 0]"
1,5,{}
1,5,{}
1,AT12,"{2: 0, 3: 1, 4: 0}"
1,AT20,{4: 1}
1,AT14,{4: 2}
1,AT17,"{0: 0, 1: 0, 3: 1}"
1,AT12,"{2: 1, 3: 1, 4: 2}"
1,AT18,"{1: 1, 2: 2, 3: 2}"
1,Final Exam,"[0, 1, 2, 2, 2]"
2,Prior Assessment Test,"[1, 0, 0, 0, 0]"
2,AT17,"{0: 1, 1: 0, 3: 0}"
2,AT17,"{0: 1, 1: 1, 3: 1}"
2,AT18,"{1: 1, 2: 0, 3: 1}"
2,AT17,"{0: 1, 1: 1, 3: 2}"
2,AT16,{2: 1}
2,AT17,"{0: 1, 1: 2, 3: 2}"
2,AT15,{2: 1}
2,AT14,{4: 0}
2,Final Exam,"[1, 2, 1, 2, 0]"
3,Prior Assessment Test,"[0, 0, 0, 0, 0]"
3,8,{}
3,10,{}
3,1,{}
3,1,{}
3,AT17,"{0: 2, 1: 2, 3: 2}"
3,10,{}
3,AT12,"{2: 2, 3: 2, 4: 2}"
3,Final Exam,"[2, 2, 2, 2, 2]"
4,Prior Assessment Test,"[0, 0, 1, 0, 1]"
4,AT17,"{0: 1, 1: 2, 3: 1}"
4,2,{}
4,AT12,"{2: 2, 3: 2, 4: 2}"
4,3,{}
4,3,{}
4,3,{}
4,AT19,"{0: 2, 1: 2}"
4,Final Exam,"[2, 2, 2, 2, 2]"
5,Prior Assessment Test,"[0, 0, 0, 0, 0]"
5,AT12,"{2: 2, 3: 1, 4: 2}"
5,AT17,"{0: 1, 1: 0, 3: 2}"
5,AT17,"{0: 2, 1: 2, 3: 2}"
5,Final Exam,"[2, 2, 2, 2, 2]"
6,Prior Assessment Test,"[0, 0, 0, 0, 0]"
6,3,{}
6,3,{}
6,1,{}
6,10,{}
6,AT18,"{1: 0, 2: 1, 3: 0}"
6,AT17,"{0: 1, 1: 0, 3: 1}"
6,AT17,"{0: 1, 1: 0, 3: 2}"
6,AT12,"{2: 1, 3: 2, 4: 1}"
6,Final Exam,"[1, 0, 1, 2, 1]"
7,Prior Assessment Test,"[1, 0, 0, 1, 0]"
7,AT18,"{1: 2, 2: 2, 3: 2}"
7,1,{}
7,1,{}
7,1,{}
7,AT14,{4: 0}
7,AT19,"{0: 2, 1: 2}"
7,AT20,{4: 0}
7,AT20,{4: 0}
7,Final Exam,"[2, 2, 2, 2, 0]"
8,Prior Assessment Test,"[1, 0, 0, 1, 1]"
8,AT18,"{1: 1, 2: 1, 3: 2}"
8,1,{}
8,5,{}
8,5,{}
8,1,{}
8,AT18,"{1: 2, 2: 2, 3: 2}"
8,AT20,{4: 2}
8,AT19,"{0: 2, 1: 2}"
8,Final Exam,"[2, 2, 2, 2, 2]"
9,Prior Assessment Test,"[0, 0, 1, 1, 0]"
9,AT12,"{2: 2, 3: 1, 4: 0}"
9,AT17,"{0: 0, 1: 0, 3: 1}"
9,AT17,"{0: 1, 1: 1, 3: 2}"
9,AT19,"{0: 2, 1: 2}"
9,6,{}
9,6,{}
9,AT12,"{2: 2, 3: 2, 4: 2}"
9,Final Exam,"[2, 2, 2, 2, 2]"
10,Prior Assessment Test,"[0, 0, 0, 0, 0]"
10,AT18,"{1: 0, 2: 0, 3: 0}"
10,AT18,"{1: 1, 2: 0, 3: 1}"
10,AT17,"{0: 0, 1: 2, 3: 1}"
10,AT12,"{2: 0, 3: 1, 4: 0}"
10,AT12,"{2: 0, 3: 1, 4: 0}"
10,AT12,"{2: 0, 3: 1, 4: 0}"
10,AT12,"{2: 1, 3: 2, 4: 1}"
10,AT19,"{0: 0, 1: 2}"
10,Final Exam,"[0, 2, 1, 2, 1]"
11,Prior Assessment Test,"[0, 1, 1, 0, 0]"
11,AT18,"{1: 1, 2: 2, 3: 1}"
11,AT17,"{0: 0, 1: 1, 3: 1}"
11,AT17,"{0: 1, 1: 1, 3: 2}"
11,AT20,{4: 2}
11,AT17,"{0: 1, 1: 1, 3: 2}"
11,AT19,"{0: 2, 1: 2}"
