TESTING: episode: 10010000, avg_reward: -56.67, success_rate: 0.056, avg_steps: 4.501
TESTING: episode: 20010000, avg_reward: -81.44, success_rate: 0.171, avg_steps: 11.392
TESTING: episode: 30010000, avg_reward: -48.01, success_rate: 0.179, avg_steps: 9.575
TESTING: episode: 40010000, avg_reward: -44.74, success_rate: 0.0, avg_steps: 12.0
TESTING: episode: 50010000, avg_reward: -53.88, success_rate: 0.239, avg_steps: 11.876
TESTING: episode: 60010000, avg_reward: -71.78, success_rate: 0.007, avg_steps: 11.949
TESTING: episode: 70010000, avg_reward: -83.21, success_rate: 0.0, avg_steps: 12.0
TESTING: episode: 80010000, avg_reward: -60.16, success_rate: 0.449, avg_steps: 11.925
TESTING: episode: 90010000, avg_reward: -38.44, success_rate: 0.003, avg_steps: 8.303
TESTING: episode: 100010000, avg_reward: -68.4, success_rate: 0.093, avg_steps: 8.413
TESTING: episode: 110010000, avg_reward: -43.64, success_rate: 0.227, avg_steps: 9.148
TESTING: episode: 120010000, avg_reward: -40.34, success_rate: 0.6, avg_steps: 10.786
TESTING: episode: 130010000, avg_reward: -36.25, success_rate: 0.356, avg_steps: 9.352
TESTING: episode: 140010000, avg_reward: -56.29, success_rate: 0.112, avg_steps: 8.245
TESTING: episode: 150010000, avg_reward: -28.23, success_rate: 0.474, avg_steps: 10.217
TESTING: episode: 160010000, avg_reward: -21.46, success_rate: 0.558, avg_steps: 8.877
TESTING: episode: 170010000, avg_reward: -19.43, success_rate: 0.537, avg_steps: 8.972
TESTING: episode: 180010000, avg_reward: 11.02, success_rate: 0.621, avg_steps: 8.929
TESTING: episode: 190010000, avg_reward: -5.12, success_rate: 0.655, avg_steps: 9.006
TESTING: episode: 200010000, avg_reward: 6.67, success_rate: 0.638, avg_steps: 9.26
TESTING: episode: 210010000, avg_reward: 22.83, success_rate: 0.672, avg_steps: 9.29
TESTING: episode: 220010000, avg_reward: -26.28, success_rate: 0.519, avg_steps: 9.384
TESTING: episode: 230010000, avg_reward: 12.37, success_rate: 0.612, avg_steps: 9.327
TESTING: episode: 240010000, avg_reward: -16.09, success_rate: 0.532, avg_steps: 8.752
TESTING: episode: 250010000, avg_reward: 2.33, success_rate: 0.57, avg_steps: 8.679
TESTING: episode: 260010000, avg_reward: 14.48, success_rate: 0.687, avg_steps: 9.075
TESTING: episode: 270010000, avg_reward: 12.59, success_rate: 0.622, avg_steps: 8.925
TESTING: episode: 280010000, avg_reward: 2.8, success_rate: 0.607, avg_steps: 9.063
TESTING: episode: 290010000, avg_reward: 12.22, success_rate: 0.625, avg_steps: 8.679
TESTING: episode: 300010000, avg_reward: 8.35, success_rate: 0.346, avg_steps: 10.507
TESTING: episode: 310010000, avg_reward: 14.47, success_rate: 0.672, avg_steps: 8.952
TESTING: episode: 320010000, avg_reward: 16.76, success_rate: 0.656, avg_steps: 9.83
TESTING: episode: 330010000, avg_reward: 8.22, success_rate: 0.705, avg_steps: 9.175
TESTING: episode: 340010000, avg_reward: 43.25, success_rate: 0.713, avg_steps: 9.166
TESTING: episode: 350010000, avg_reward: 13.92, success_rate: 0.691, avg_steps: 9.416
TESTING: episode: 360010000, avg_reward: 14.33, success_rate: 0.736, avg_steps: 9.106
TESTING: episode: 370010000, avg_reward: 28.42, success_rate: 0.704, avg_steps: 9.08
TESTING: episode: 380010000, avg_reward: 24.89, success_rate: 0.718, avg_steps: 8.988
TESTING: episode: 390010000, avg_reward: 18.61, success_rate: 0.728, avg_steps: 9.215
TESTING: episode: 400010000, avg_reward: 39.16, success_rate: 0.707, avg_steps: 9.244
TESTING: episode: 410010000, avg_reward: 32.61, success_rate: 0.735, avg_steps: 8.892
TESTING: episode: 420010000, avg_reward: 43.3, success_rate: 0.752, avg_steps: 9.077
TESTING: episode: 430010000, avg_reward: 10.48, success_rate: 0.769, avg_steps: 8.855
TESTING: episode: 440010000, avg_reward: 14.9, success_rate: 0.725, avg_steps: 9.164
TESTING: episode: 450010000, avg_reward: 27.12, success_rate: 0.716, avg_steps: 9.119
TESTING: episode: 460010000, avg_reward: 20.85, success_rate: 0.68, avg_steps: 9.099
TESTING: episode: 470010000, avg_reward: 35.28, success_rate: 0.756, avg_steps: 8.567
TESTING: episode: 480010000, avg_reward: 25.07, success_rate: 0.741, avg_steps: 8.675
TESTING: episode: 490010000, avg_reward: 26.83, success_rate: 0.742, avg_steps: 8.847
TESTING: episode: 500010000, avg_reward: 18.94, success_rate: 0.758, avg_steps: 8.68
TESTING: episode: 510010000, avg_reward: 29.25, success_rate: 0.769, avg_steps: 8.486
TESTING: episode: 520010000, avg_reward: 41.23, success_rate: 0.803, avg_steps: 8.411
TESTING: episode: 530010000, avg_reward: 32.92, success_rate: 0.752, avg_steps: 8.53
TESTING: episode: 540010000, avg_reward: 14.56, success_rate: 0.759, avg_steps: 8.671
TESTING: episode: 550010000, avg_reward: 39.59, success_rate: 0.728, avg_steps: 8.718
TESTING: episode: 560010000, avg_reward: 29.02, success_rate: 0.761, avg_steps: 8.56
TESTING: episode: 570010000, avg_reward: 45.33, success_rate: 0.739, avg_steps: 8.481
TESTING: episode: 580010000, avg_reward: 39.52, success_rate: 0.764, avg_steps: 8.412
TESTING: episode: 590010000, avg_reward: 29.19, success_rate: 0.747, avg_steps: 8.625
TESTING: episode: 600010000, avg_reward: 29.23, success_rate: 0.739, avg_steps: 8.456
TESTING: episode: 610010000, avg_reward: 20.41, success_rate: 0.767, avg_steps: 8.688
TESTING: episode: 620010000, avg_reward: 43.71, success_rate: 0.745, avg_steps: 8.462
TESTING: episode: 630010000, avg_reward: 32.67, success_rate: 0.763, avg_steps: 8.334
TESTING: episode: 640010000, avg_reward: 31.05, success_rate: 0.773, avg_steps: 8.404
TESTING: episode: 650010000, avg_reward: 39.48, success_rate: 0.759, avg_steps: 8.329
TESTING: episode: 660010000, avg_reward: 35.37, success_rate: 0.771, avg_steps: 8.357
TESTING: episode: 670010000, avg_reward: 29.42, success_rate: 0.727, avg_steps: 8.52
